Model,Weighting,Controlled_Change,class_weight,n_estimators,max_depth,learning_rate,num_leaves,random_state,CV_Rank,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Macro_F1_Mean,CV_Macro_F1_Std,CV_Balanced_Accuracy_Mean,CV_Balanced_Accuracy_Std,CV_Recall_Poor_Mean,CV_Recall_Poor_Std,CV_Recall_Average_Mean,CV_Recall_Average_Std,CV_Recall_Good_Mean,CV_Recall_Good_Std,CV_Recall_Excellent_Mean,CV_Recall_Excellent_Std,CV_Fit_Time_Seconds,Val_Accuracy,Val_Macro_F1,Val_Balanced_Accuracy,Val_Recall_Poor,Val_Recall_Average,Val_Recall_Good,Val_Recall_Excellent,Selected,Delta_CV_Accuracy_Mean_vs_Unweighted,Delta_CV_Macro_F1_Mean_vs_Unweighted,Delta_CV_Balanced_Accuracy_Mean_vs_Unweighted,Delta_CV_Recall_Poor_Mean_vs_Unweighted,Delta_Val_Accuracy_vs_Unweighted,Delta_Val_Macro_F1_vs_Unweighted,Delta_Val_Balanced_Accuracy_vs_Unweighted,Delta_Val_Recall_Poor_vs_Unweighted
LightGBM (Unweighted),None,LightGBM parameters fixed; only class_weight changes,None,300,8,0.05,63,20260726,9,0.8083750000000001,0.012993988994916073,0.654073733137043,0.028077312906181342,0.6307964623115405,0.01821947324909313,0.10935672514619883,0.05933871763258863,0.7497076023391813,0.013912721933766433,0.8512574406540605,0.019766759404092966,0.8128640811067216,0.01972611751601326,21.719785451889038,0.816,0.6701319135227705,0.644838039489638,0.13043478260869565,0.765807962529274,0.8306997742663657,0.8524096385542169,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LightGBM (Balanced),balanced,LightGBM parameters fixed; only class_weight changes,balanced,300,8,0.05,63,20260726,8,0.8140000000000001,0.013041999463272483,0.7103965555752839,0.019892107302812267,0.6763415370480579,0.01623148397379465,0.26315789473684215,0.05044177462654462,0.7783625730994153,0.01218284599766062,0.8317810555170408,0.022343217228811035,0.8320646248389336,0.0217327184568446,18.232481718063354,0.8245,0.6976102625327057,0.6748064919948722,0.21739130434782608,0.7915690866510539,0.827313769751693,0.8629518072289156,False,0.005624999999999991,0.05632282243824094,0.045545074736517366,0.15380116959064333,0.008500000000000063,0.027478349009935288,0.029968452505234167,0.08695652173913043
