task_id,data_version,split_version,approach,model_family,model,params_json,split,seed,n_samples,cv_folds,class_order,accuracy,macro_f1,balanced_accuracy,roc_auc,mae,rmse,recall_poor,recall_average,recall_good,recall_excellent,runtime_sec,output_path,selected_within_family,selected_within_approach,is_primary,accuracy_delta_vs_direct,macro_f1_delta_vs_direct,balanced_accuracy_delta_vs_direct,mae_delta_vs_direct,rmse_delta_vs_direct
task2,47f65c775142a8097b828191a01c0d8c6e7c6a010f155fdf7bd16ca957767d1a,a47f71f6c770d059aeb7a12f6d816ba7e370777611fe6314f4de2eaa00731b54,direct_classification,Logistic Regression,Logistic Regression,"{""C"":1.0}",val,20260726,2000,0,Poor|Average|Good|Excellent,0.8265,0.8201949781526471,0.8122772009725698,,0.1735,0.41653331199317056,,,,,0.4423992999945767,outputs\task2\comparison\direct_predictions.csv,True,True,False,0.0,0.0,0.0,0.0,0.0
task2,47f65c775142a8097b828191a01c0d8c6e7c6a010f155fdf7bd16ca957767d1a,a47f71f6c770d059aeb7a12f6d816ba7e370777611fe6314f4de2eaa00731b54,regression_then_binning,Ridge,Ridge Regression,"{""alpha"":0.1}",val,20260726,2000,0,Poor|Average|Good|Excellent,0.834,0.8244061272550697,0.8145060068969118,,0.166,0.4074309757492673,,,,,0.13137239999196026,outputs\task2\comparison\regression_binning_predictions.csv,True,True,True,0.007499999999999951,0.0042111491024225955,0.0022288059243419367,-0.007499999999999979,-0.009102336243903275
