Model,CV_Rank,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Macro_F1_Mean,CV_Macro_F1_Std,CV_Balanced_Accuracy_Mean,CV_Balanced_Accuracy_Std,CV_Recall_Poor_Mean,CV_Recall_Poor_Std,CV_Recall_Average_Mean,CV_Recall_Average_Std,CV_Recall_Good_Mean,CV_Recall_Good_Std,CV_Recall_Excellent_Mean,CV_Recall_Excellent_Std,CV_Fit_Time_Seconds,Val_Accuracy,Val_Macro_F1,Val_Balanced_Accuracy,Val_Recall_Poor,Val_Recall_Average,Val_Recall_Good,Val_Recall_Excellent,Selected,Baseline_Reference
Logistic Regression (Unweighted),3,0.8476250000000001,0.007282255831814747,0.782569468671279,0.016103147363704773,0.7673371208914447,0.01469786992234013,0.527485380116959,0.05555863334041463,0.8187134502923976,0.012812223567372296,0.8526690731753963,0.009441408053088202,0.8704805799810259,0.018476218938188505,1.8608739376068115,0.8485,0.7868119037093578,0.7655491745498246,0.5217391304347826,0.810304449648712,0.8566591422121896,0.8734939759036144,False,True
Dummy Most Frequent,12,0.442875,0.0003061862178478907,0.1534696196707481,7.354207348632161e-05,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.26941657066345215,0.443,0.1534996534996535,0.25,0.0,0.0,1.0,0.0,False,False
